"year","date","day","YYYMMDD","sum","N","mean","median"
1987,"March30",89,19870330,764.5,44,17.375,15.5
1988,"April9",99,19880409,894.3,44,20.325,17.95
1989,"April5",95,19890405,1193.7,43,27.7604651162791,25.5
1990,"March17",76,19900317,930.5,45,20.6777777777778,18.9
1991,"April18",108,19910418,985.5,45,21.9,19.4
1992,"February25",56,19920225,762.9,45,16.9533333333333,15.2
1993,"April19",109,19930419,1062.7,45,23.6155555555556,21.8
1994,"March24",83,19940324,739.5,45,16.4333333333333,16.5
1995,"April15",105,19950415,1117.9,45,24.8422222222222,23.9
1996,"April3",93,19960403,1116.3,45,24.8066666666667,22.1
1997,"April15",105,19970415,1695.9,45,37.6866666666667,34.2
1998,"April18",108,19980418,968.1,45,21.5133333333333,20.9
1999,"April11",101,19990411,1537.2,44,34.9363636363636,31.3
2000,"March30",89,20000330,1136.2,45,25.2488888888889,23.7
2001,"April15",105,20010415,669.9,45,14.8866666666667,13.8
2002,"March30",89,20020330,1178.1,45,26.18,22.2
2003,"April7",97,20030407,1094.9,45,24.3311111111111,22.5
2004,"March10",69,20040310,1033.8,45,22.9733333333333,21
2005,"April21",111,20050421,681.3,45,15.14,15.1
2006,"April19",109,20060419,1317.4,45,29.2755555555556,27.8
2007,"March10",69,20070310,838.3,45,18.6288888888889,16.8
2008,"April12",102,20080412,1357.9,45,30.1755555555556,27
2009,"April5",95,20090405,1146.7,45,25.4822222222222,23
2010,"April14",104,20100414,785.7,45,17.46,17.4
2011,"May1",121,20110501,1434.1,45,31.8688888888889,27.8
2012,"April7",97,20120407,1173,45,26.0666666666667,24.2
2013,"March26",85,20130326,861.3,45,19.14,17.7
2014,"April7",97,20140407,1231,45,27.3555555555556,24.2
2015,"March7",66,20150307,680.1,45,15.1133333333333,14.9
2016,"March30",89,20160330,1088.3,45,24.1844444444444,23
2017,"March31",90,20170331,1154.8,45,25.6622222222222,23.5
2018,"April18",108,20180418,1173.1,45,26.0688888888889,22.6
2019,"April17",107,20190417,1114.8,44,25.3363636363636,24
2020,"April7",97,20200407,1081.2,45,24.0266666666667,21.9
2021,"March31",90,20210331,1002.9,44,22.7931818181818,21.15
2022,"April22",112,20220422,904.1,45,20.0911111111111,18.5
2023,"April25",115,20230425,1207.8,45,26.84,26.4
2024,"April10",100,20240410,849.2,45,18.8711111111111,18.8
